"anho","semana","idprovincia","Incendios","Observed","Predicted","Dicot1","Dicot2","Dicot3","Dicot4"
"2015","37","22",0,0,0,0,0,0,0
"2015","37","23",1,0.22,8.21785554106417,0,0,0,0
"2015","37","24",13,6.01307692307692,132.977770297282,0,0,0,0
"2015","37","25",0,0,0,0,0,0,0
"2015","37","26",1,4.12,0.573104757781955,0,0,0,0
"2015","37","27",14,3.34571428571429,31.9782845193248,0,0,0,0
"2015","37","29",0,0,0,0,0,0,0
"2015","37","30",0,0,0,0,0,0,0
"2015","37","32",40,6.898,99.6737664249279,0,1,1,1
"2015","37","33",15,5.028,36.4047125411658,0,0,0,0
"2015","37","34",3,0.5,12.3321981457957,0,0,0,0
"2015","37","36",7,1.02714285714286,2.70637124935541,0,0,0,0
"2015","37","37",4,1.9925,23.2497433913372,0,0,0,0
"2015","37","40",0,0,0,0,0,0,0
"2015","37","41",4,0.3325,18.6826476783148,0,0,0,0
"2015","37","42",0,0,0,0,0,0,0
"2015","37","43",0,0,0,0,0,0,0
"2015","37","44",0,0,0,0,0,0,0
"2015","37","45",5,1.42,44.4380255124403,0,0,0,0
"2015","37","46",0,0,0,0,0,0,0
"2015","37","47",2,93.45,7.41807239851595,0,0,0,0
"2015","37","49",7,2.82428571428571,43.8504496060507,0,0,0,0
"2015","37","50",3,0.316666666666667,7.85627064035785,0,0,0,0
"2015","38","2",0,0,0,0,0,0,0
"2015","38","3",0,0,0,0,0,0,0
"2015","38","4",0,0,0,0,0,0,0
"2015","38","5",1,5,5.69583154001009,0,0,0,0
"2015","38","6",10,4.47,53.4716101680839,0,0,0,0
"2015","38","8",1,0.23,0.644481828877269,0,0,0,0
"2015","38","9",5,0.236,7.31092870791823,0,0,0,0
"2015","38","10",2,2.74,1.88282634084451,0,0,0,0
"2015","38","11",2,0.73,23.4020301162688,0,0,0,0
"2015","38","12",1,0.15,0.867772315249478,0,0,0,0
"2015","38","13",1,8.6,1.83960377287731,0,0,0,0
"2015","38","14",1,0.86,6.82022137887331,0,0,0,0
"2015","38","15",0,0,0,0,0,0,0
"2015","38","16",1,0.82,3.46075925462901,0,0,0,0
