"anho","semana","id_provincia","provincia","personal_tecnicos","personal_brigadas","personal_fuerzas_orden","personal_otros","medios_autobomba","medios_bulldozer","medios_tractores","medios_otros","aereos_aviones_anfibios","aereos_aviones_carga","aereos_helicopteros_exticion","aereos_helicopteros_transporte","total","totalar","totalnar","supernf","num_incendios","dist_1_nearest_buildup","dist_10_nearest_buildup","dir","prec","sol","tmax","tmed","tmin","velmedia","hrmedia","domain"
2007,29,30,"MURCIA",2.17,11.33,2.25,2.08,2.83,0,0,0,0,0,0,0.58,2.79,0.73,0.73,1.33,6,2197.6,3596.26,13.98,0,11.8,32.67,26.68,20.73,3,57.5,"29:30"
2007,29,32,"OURENSE",3,14,0,0,2,0,0,0,0,0,0,1,0.23,0,0.23,0,1,2436.83,3959.17,26.7,6.8,6.67,21.63,14.78,7.92,1.91,63,"29:32"
2007,29,33,"ASTURIAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,37.49,3.87,20.16,16.94,13.72,1.99,77,"29:33"
2007,29,34,"PALENCIA",2,12,0,2,1,0,1,0,0,0,0,1,3.09,0,1.58,1.51,1,3627.12,4468.1,21.57,3.77,9.7,22.16,15.45,8.75,2.79,53,"29:34"
2007,29,36,"PONTEVEDRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,42.1,8.84,20.22,16.09,11.96,2.71,74,"29:36"
2007,29,37,"SALAMANCA",2.5,6.1,1,10,2,0,0.6,0,0,0.1,0,0.6,7.54,0,7.04,0.5,6,1159.23,4340.62,23.92,0.83,11.07,23.5,16.3,9.08,3.1,49,"29:37"
2007,29,40,"SEGOVIA",2,12.5,5.5,10,2,0,1.5,0,0,0.5,0,1,3.39,0.05,2.11,1.23,2,868.79,3163.71,26.67,0.1,11.99,25.99,18.73,11.5,3.33,39,"29:40"
2007,29,41,"SEVILLA",1.67,11.47,1.73,0.7,1.27,0,0.13,0,0,0,0,0.2,15.9,0.51,14.4,0.99,8,1104.97,2391.29,24.6,0,12.46,32.7,24.49,16.26,3.06,45,"29:41"
2007,29,42,"SORIA",2.5,6,2,27,2,0,1,0,0,1,0,0.5,4.64,0,0.55,4.09,2,2015.41,4779.05,14.57,0,10.56,26.49,18.59,10.69,3.24,55,"29:42"
2007,29,43,"TARRAGONA",3.75,16.5,3.5,4,4.25,0,0,0,0,1,0.5,0.5,2.15,1.18,0.8,0.17,3,467.42,1543.79,15.35,13.09,7.92,27.86,24.38,20.87,2.38,66.5,"29:43"
